City Name
Al-Khalil Colony? Multan
"Kasur, District Kasur"
"Leh, District Leh"
"East, District Bahawalpur"
"Noorpur, District Khushab"
setallite twon bahawalpur
C Block? Okara
Dipalpur? District Okara
Chunian? District Kasur
House number 1?
"Satah, Tehsil/District Bahawalpur"
Dipalpur? District Okara
"Noorpur, District Khushab"
WB?Tehsil Dunyapur?District Lodhran
Tehsil/ District Khushab
Village Gilgasht Colony?Multan
"Block E, Multan"
"Mufti Baqir, Lahore"
No. 10? Lodhran
"Patuki, District Kasur"
"Cantt, District Lahore"
Dola Singh?Patoki?District Kasur
"2, Karachi East"
"Litton Road, Lahore"
"Three Four, Islamabad"
"2, Karachi Central"
Jehangir Road?Karachi East
"Market Achhra, Lahore"
Nadeem Shaheed Roadsmanabad?Lahore
B1 Block 15?Lahore
House Dadu Pakistan
"Seora, Tehsil/District Multan"
City District Faisalabad
Girls Road Bahawalpur
"Jaranwala, District Faisalabad"
Tehsil/ District Rawalpindi
"Mahalla Islamabad, Gujranwala"
"Mohalla Hasanpura, Gujarat"
"Daska, District Sialkot"
"Lane, Karachi South"
"City, District Faisalabad"
"Tangwani, District Kashmore"
House number 38?
Rahim Yar Khan
Tehsil/ District Khushab
Bhattian? District Hafizabad
"Garden Town, Lahore"
Noorpur? District Khushab
Toba Tek Singh
Tehsil/ District Sahiwal
"Cantt, District Lahore"
"Silwanali, District Sargodha"
Chanu? District Khanewal
"Kabirwala, District Khanewal"
Sahiwal? District Sargodha
Sheikhupura? District Sheikhupura
Silanwali? District Sargodha
"Sial, District Jhang"
Ferozwala? District Sheikhupura
"Gulberg 3, Lahore"
rasool nagar Faisalabad
Haroonabad? District Bahawalnagar
Iqbal Town? Lahore
""
Jahanian? District Khanewal
District Bajaur Agency
Halipota House? Khairpur
"Soomra, Noshro Feroze"
"Martong, District Shangla"
House No. P-145?
Jatoi? District Muzaffargarh
"Jhamra, District Faisalabad"
Tehsil/ District Khushab
"Kunari, District Umarkot"
"Mirwah, District Khairpur"
"Dunyapur, District Lodhran"
"Pakka, District Lodhran"
"Chunian, District Kasur"
"Colony Achhra, Lahore"
"Chunian, District Kasur"
Chunian? District Kasur
City? District Faisalabad
Jatoi? District Muzaffargarh
Khoi Dhana Singh?Lahore
"Chunian, District Kasur"
"Pakka, District Lodhran"
"Chunian, District Kasur"
Society?Lahore Cantt?District Lahore
"Jatoi, District Muzaffargarh"
Bhattian? District Hafizabad
Kabirwala? District Khanewal
o Zillah Kasur
"Sargodha, District Sargodha"
DISTRICT RAHIMYAR KHAN
"East, District Bahawalpur"
"Lower, Tehsil/District Hafizabad"
Muhala chishtiyan Chakwal
Town B? Bahawalpur
"Jam, Tehsil/District Hyderabad"
Yazman Road? Bahawalpur
Bakr Pura? Narowal
"Warkan, District Gujranwala"
"Hafizabad, Punjab, Pakistan"
"Yazman, District Bahawalpur"
"Shamsher Town, Sargodha"
Gadani? District Lasbela
"City, District Faisalabad"
Ahmedpur Road? Bahawalpur
"Block Quaid-e-Azam, Bahawalpur"
District Nankana Sahib
"Adu, District Muzaffargarh"
"City, District Faisalabad"
Sargodha? District Sargodha
"City, Tehsil/District Rajanpur"
"Mahalla Rahmatpura, Pakpattan"
"Jaranwala, District Faisalabad"
Bhawana? District Chiniot
"Arifwala, District Pakpattan"
"Mari, Tehsil/District Multan"
District Nankana Sahib
"Mohalla Gharibabad, Multan"
Shahbaz Chowk?Mohalla Nathpura?Multan
"East, District Bahawalpur"
Hasilpur District Bahawalpur
"Sargodha, District Sargodha"
salanwali district Sargoda
Lalian? Chiniot District
"Kabirwala, District Khaniwal"
"Boriwala, District Wahari"
Sadar? District Multan
"Khanda, Nankana Sahib"
Wapda Town? Gujranwala
"Kohat Road, Peshawar"
"Habib Masjid, Bahawalnagar"
"Bank Road, Lahore"
Climax Garden? Gujranwala
"Sehansa, District Kotli"
"Dunyapur, District Lodhran"
"Muzaffarabad, District Muzaffarabad"
"Shakargarh, District Narowal"
Noorpur? District Khushab
"Complex, Sultanpura, Lahore"
"9, Karachi East"
District Nowshro Feroze
"Road, Karachi East"
"Singh, Tehsil/District Gujranwala"
Zillah Jhelum Valley
"City, District Faisalabad"
Nazimabad 2?Karachi Central
City? District Faisalabad
Chaklala Scheme 3?Rawalpindi
Sarjani Town?Karachi West
Toba Tek Singh
Tehsil/ District Jhang
"Yazman, District Bahawalpur"
Sadar? District Multan
raiwind road Lahore
"Silwanali, District Sargodha"
Pakhal? District Mansehra
"Gauteng, South Africa"
Tehsil/ District Sargodha
C? Karachi South
"Cantt, District Lahore"
"Hazari, District Jhang"
"Brewery Road, Quetta"
Sadar? District Faisalabad
"Bahawalpur, District Bahawalpur"
Pindi Bhattian?District Hafizabad
Rahim Yar Khan
"Karachi, Tehsil/District Malir"
"Tangwani, District Kashmore"
Jahanian? District Khanewal
Latifabad? District Hyderabad
East? District Bahawalpur
Rahim Yar Khan
Dera Ghazi Khan
Rahim Yar Khan
"Manchanabad, District Bahawalnagar"
Mailsi Distrct Vihari
O District Layyah
"City, District Faisalabad"
No. 3?Karachi South
"Tamiwali, District Bahawalpur"
"Fatimah Colony, Okara"
House No. E-173/3?
Colony Multan Road?Lahore
"Patuki, District Kasur"
Matha Towana? Khushab
Cantt. District Lahore
"Dunyapur, District Lodhran"
Z?Khanpur?Rahimyar Khan District
"Chinnu, District Khaniwal"
Rojhan? District Rajanpur
Watani District Sahiwal
House No. 39-A?
"Arifwala, District Pakpattan"
"Khasilpur, District Bahawalpur"
"Khan, District Rawalpindi"
"Shorekot, District Jhang"
Tehsil/ District Khushab
House number 2c?
Gulshan Ravi?Block A?Lahore
"Mahalla Qaimabad, Bahawalnagar"
"Silanwali, District Sargodha"
"City, District Faisalabad"
Arifwala? District Pakpattan
"Sector J-4, Peshawar"
"Harunabad, District Bahawalnagar"
"Silwanali, District Sargodha"
"Mahalla Manzoorabad, Leh"
Bhatian? District Hafizabad
"Cantt., District Lahore"
Rahim Yar Khan
Pakka? District Lodhran
"Dubai Mahal, Bahawalpur"
Sargodha? District Sargodha
"Chunian, District Kasur"
"Mohalla Eidgah, Layyah"
"Sahiwal, District Sahiwal"
No 2 Faisalabad
"City, District Faisalabad"
"Mohalla Abbaspura, Khushab"
"City, District Faisalabad"
"Sadr, District Multan"
"East, District Bahawalpur"
Melsi? District Vihari
House number 10?
Tehsil/ District Jhang
"Jhamra, District Faisalabad"
City? District Faisalabad
Toba Tek Singh
City? District Faisalabad
Norang?District Lucky Marwat
Darya Khan?District Bhakkar
"Sadar, District Multan"
House No. 1710/BVI?
Tehsil/ District Nowshera
"Bala, Tehsil/District Peshawar"
Dunyapur? District Lodhran
Lodhran? District Lodhran
"Jamal Colony, Lahore"
Toba Tek Singh
"Raion Road, Lahore"
"Cantt, Tehsil/District Peshawar"
"Mujahid Colony, Multan"
Rahim Yar Khan
Colony HMC?Taxila?District Rawalpindi
"Sargodha, District Sargodha"
Tehsil/ District Khushab
"Dunyapur, District Lodhran"
Jaranwala? District Faisalabad
Colony Station Road?Tandojam?Tehsil/Dist.Hyderabad
Rahim Yar Khan
"Railway Road, Khanewal"
"Nowshera, Tehsil/District Bahawalpur"
Boriwala? District Wahari
"Bhawana, Chiniot District"
"Bhalwal, District Sargodha"
"City, District Faisalabad"
"Factory Shahdara, Lahore"
"Sadar, District Faisalabad"
"Deepalpur, District Okara"
EB?Tehsil Boriwala?District Wahari
"Attock, Punjab, Pakistan"
Dunyapur? District Lodhran
Dera Ghazi Khan
Tea Centre Islamabad
Rahim Yar Khan
Aqil? District Sukkur
"I, Karachi South"
Awan Town Lahore
Mohalla Sharafabad?Rohri?District Sukkur
Rahim Yar Khan
Rahim Yar Khan
"Safdarabad, Sheikhupura District"
"Thatta, Sindh, Pakistan"
"Hala, District Matari"
"Mahalla Wazirpura, Sialkot"
"Valencia Town, Lahore"
"Multan Road, Lahore"
"Model Town, Sargodha"
"Tajpura Scheme, Lahore"
Cantt? District Lahore
Rahim Yar Khan
"Pakka, District Lodhran"
District Khyber Agency
"Tandlianwala, District Faisalabad"
"Pattoki, District Kasur"
"Bhawana, Chiniot District"
"Ten Three, Islamabad"
/ District Rawalpindi
"Jatoi, District Muzaffargarh"
"Cantt, Tehsil/District Jhelum"
Tehsil/ District Jhang
"Jaranwala, District Faisalabad"
Chak Jhamra?District Faisalabad
"Safdarabad, District Sheikhupura"
Harunabad? District Bahawalnagar
Addu? District Muzaffargarh
President? District Multan
"Federal Colony, Lahore"
"Band Road, Lahore"
Dunyapur District Lodhran
"New Cant, Sargodha"
"City, District Faisalabad"
Vihari? District Vihari
Chak Jhamra?District Faisalabad
"Block D, Lahore"
Road?Mohalla Mubarak Colony?Hafizabad
"Bahawalpur, District Bahawalpur"
"Syed Chowk, Rawalpindi"
Tehsil/ District Charsadda
Tehsil/ District Mianwali
Block Awan Town?Lahore
"Tehsil, Bahawalnagar District"
Rahim Yar Khan
"Lahore Road, Kasur"
"Karimwah, Tehsil/District Vihari"
City? District Faisalabad
Melsi? District Vihari
"Sadar, District Multan"
"Kabirwala, District Khaniwal"
"Jhansa, distt Abbotabad"
Office Loralai?Chapli?Tehsil/District Loralai
"Khurd, District Okara"
"Karachi, Karachi Central"
"Gujrat, District Gujrat"
"Kishan, District Kasur"
"Sadar, District Faisalabad"
Tehsil/ District Swabi
No. 1? Mansehra
Ghazi? District Haripur
"Khaniwal, District Khaniwal"
"Jhang, District Jhang"
Pakpattan? District Pakpattan
"Jhang, District Jhang"
"Area, Karachi Central"
"Tarbela Dam, Swabi"
"Block A, Lahore"
"Mohalla Saeedabad, Bahawalpur"
"City, District Faisalabad"
"Boriwala, District Wahari"
Tehsil/ District Peshawar
"pur, zila Sanghar"
"Dipalpur, District Okara"
"Farid Colony, Pakpattan"
"Chanun, District Khaniwal"
"NILKOT, TEHSIL/DISTRICT MULTAN"
Rahim Yar Khan
Toba Tek Singh
"Shah Islam, Multan"
Parwala? District Multan
"Jatoi, District Muzaffargarh"
Sadar? District Multan
"Cantt, District Lahore"
Kuchi Basti?Sector I-8/4?Islamabad
"Sheikhupura, District Sheikhupura"
"City, District Faisalabad"
Malir?District Karachi Malir
"2, Karachi South"
Tehsil/ District Leh
Rahim Yar Khan
"Hafizabad Tebana, Charsadda"
"Tangwani, District Kashmore"
District Shahid Benazirabad
Post Office Hanjerwal?Lahore
"Sheikhupura, District Sheikhupura"
"Daska, District Sialkot"
2 Lyari?Karachi South
Khasilpur? District Bahawalpur
"Yazman, District Bahawalpur"
Rahim Yar Khan
"Civil Hospital, Larkana"
Ayesha Masjid?Muridke?District Sheikhupura
"Mohini Road, Lahore"
"Mohalla Tahliwala ,Pakpattan"
"Green Town, Lahore"
"Chunian, District Kasur"
25 BC?Tehsil/District Bahawalpur
Cantt. District Lahore
Ado? District Muzaffargarh
Ward No.5?Yazman?District Bahawalpur
"Cantt., District Lahore"
Noorpur? District Khushab
"Road, Shahdara, Lahore"
5?Dak Khanabagh?Chak Ghamnana?Tehsil/Dist.Jhang
"Hazari, District Jhang"
"II, Tehsil/District Rajanpur"
Gulshan Bashir Colony?Sargodha
Yazman? District Bahawalpur
"Multan, Punjab, Pakistan"
Tehsil/ District Kasur
Tehsil/ District Jhang
Rahim Yar Khan
District Nankana Sahib
"Arifwala, District Pakpattan"
Chinnu? District Khanewal
"Dipalpur, District Okara"
"Noorpur, District Khushab"
"Mahalla Khalidabad, Gujarat"
"Paplan, District Mianwali"
Road?Dak Khanabagh?Chak Ghamnana?Tehsil/Dist.Jhang
Mahalla Azizabad? Pakpattan
Tehsil/ District Khushab
Rahim Yar Khan
"Jhamra, District Faisalabad"
Line?Dera Ghazi Khan
Tehsil District Muzaffargarh
"Dolatpur, Tehsil/District Muzaffargarh"
"Hasilpur, District Bahawalpur"
Rahim Yar Khan
"Shujaabad, District Multan"
Melsi? District Vihari
"Salanwali, District Sargodha"
"Mohalla Langahwala, Multan"
Dera Ghazi Khan
"Chishtian, District Bahawalnagar"
Sargodha? District Sargodha
Rahim Yar Khan
Toba Tek Singh
"Cantt, District Lahore"
"Dagar, Tehsil/District Bahawalpur"
"Kasur, Punjab, Pakistan"
"Melsi, District Wahari"
Toba Tek Singh
"Al-Raqia Masjid, Bahawalpur"
"Chambar, District Tandwalhiyar"
"Aisan, District Layyah"
Rahim Yar Khan
Rahim Yar Khan
Dera Ghazi Khan
"Watani, District Sahiwal"
"Chinnu, District Khanewal"
Tehsil/ District Sahiwal
"B-1 Township, Lahore"
Sial? District Jhang
Office Mirpurmathilo?Phekratto?Tehsil/District Ghotki
Patuki? District Kasur
Sargodha? District Sargodha
Rahim Yar Khan
Rahim Yar Khan
Ward 316?Kanri?District Umarkot
Mohalla Memon? Dadu
Rahim Yar Khan
"Johi, District Dadu"
"Dero, District Larkana"
"Dunyapur, District Lodhran"
Khas?Khioh?Tehsil Jhang?District Jhang
"City, District Lahore"
"Office Khas, Lahore"
"Pattoki, District Kasur"
"Vehari, Punjab, Pakistan"
"Town Kallarabadi, Gujranwala"
"Muridke, District Sheikhupura"
"Multan Road, Lahore"
Mayo Colony? Multan
"92NB, Tehsil/Dist Sargodha"
43-M?Mohalla Wahdat Colony?Lahore
Jahanian? District Khanewal
Toba Tek Singh
"Kotal, District Khyber"
"Mahalla Islamabad, Jhang"
Toba Tek Singh
"Wahan, Tehsil/District Lodhran"
"Momin, District Sargodha"
"Lalian, District Chiniot"
Alam Colony Multan
Hajvir Nagar? Narowal
"Singh, Punjab, Pakistan"
"Basti Khalilabad, Khanewal"
"Awan Town, Lahore"
"Sadar, District Multan"
"Afzal Colony, Sialkot"
"Dhok Badr, Jhelum"
"Meyanpura West, Sialkot"
Arifwala? District Pakpattan
"Pakpattan, District Pakpattan"
"Marin, District Faisalabad"
"Bunkers Colony, Bahawalpur"
Shaeen Abad Gujranwala
"Town B, Bahawalpur"
"Hasilpur, District Bahawalpur"
Rahim Yar Khan
Addo? District Muzaffargarh
Dera Ghazi Khan
"City, District Faisalabad"
Cantt. District Lahore
Chinnu? District Khanewal
Dera Ghazi Khan
"Hasilpur, District Bahawalpur"
Toba Tek Singh
"Block W, Multan"
"Punjab , Pakistan"
"Iqbal Town, Lahore"
"Multan Road, Bahawalpur"
"Klarkot, District Bhakkar"
City? District Faisalabad
College Road? Rawalpindi
Jatoi? District Muzaffargarh
Sindhu Colony? Okara
Rahim Yar Khan
"Wala Chowk, Sahiwal"
"Sector G-9/3, Islamabad"
"Dinah, District Jhelum"
"Pattoki, District Kasur"
"Topu Khore, Peshawar"
"Khan, District Rawalpindi"
Dunyapur? District Lodhran
"Jardanwala, District Faisalabad"
Government Highway Colony?Okara
"Rohri, District Sukkur"
Marine? District Faisalabad
"Arifwala, District Pakpattan"
"Gaddu, Tehsil/District Kashmore"
Nine Four? Islamabad
"Chunian, District Kasur"
"D-I, Township, Lahore"
"Harunabad, District Bahawalnagar"
"Topi, District Swabi"
"Deepalpur, District Okara"
"Sadat Colony, Sargodha"
"East, District Bahawalpur"
"Office Mughal, Islamabad"
"Block V, Wahari"
District Nankana Sahib
"Khudadad Colony, Multan"
Toba Tek Singh
Tehsil/ District Jhang
Ado? District Muzaffargarh
Tehsil/ District Multan
Rahim Yar Khan
"Town, Karachi East"
"Dunyapur, District Lodhran"
Rahim Yar Khan
Yar Khan District
"Jhamra, District Faisalabad"
"Kabirwala, District Khanewal"
"Chishtian, District Bahawalnagar"
"Dipalpur, District Okara"
Rajanpur? District Rajanpur
o zila Sanghar
"Office Hirabad, Hyderabad"
Town? District Lahore
"Jardanwala, District Faisalabad"
Bharu Colony? Larkana
"Shahdadpur, District Sanghar"
Rahim Yar Khan
"Jhamra, District Faisalabad"
"Layyah, Punjab, Pakistan"
"Johar Town, Lahore"
Shahpur? District Sargodha
Aisan? District Leh
Park Sanda Khurd?Lahore
"Bhawana, District Chiniot"
Wala? District Khanewal
"Pakpattan, District Pakpattan"
Bhawana Chiniot District
"Cantt., District Lahore"
House number 242?
"Aisan, District Layyah"
"Khaira, Tehsil/Dist. Jhang"
Noorpur? District Khushab
Toba Tek Singh
Jaranwala? District Faisalabad
"Manchanabad, District Bahawalnagar"
"Mirpur, District Mirpur"
"II, Tehsil/District Multan"
"Necha, Tehsil/District Hafizabad"
"City, District Faisalabad"
"Zakaria University, Multan"
Shorkot? District Jhang
"Chunian, District Kasur"
"Jhang, District Jhang"
Vihari? District Vihari
"Chand Mari, Multan"
District Nankana Sahib
"Saadiran, District Faisalabad"
"Chinnu, District Khanewal"
"Boriwala, District Wahari"
Chinnu? District Khanewal
"Punjab , Pakistan"
Toba Tek Singh
"Tamiwali, District Bahawalpur"
"Mohalla Hajipora, Multan"
Khas?Kot Momin?District Sargodha
Chunian? District Kasur
Jhang District Jhang
Haram Garden? Bahawalpur
"Syedan, Tehsil/District Islamabad"
"Peshawar, District Peshawar"
Khanpur?Rahimyar Khan District
Toba Tek Singh
"Sarandi, District Faisalabad"
Muhammad Pura? Sahiwal
"Arifwala, District Pakpattan"
"Jaranwala, District Faisalabad"
"Noorpur, District Khushab"
"Rajanpur, District Rajanpur"
"Jhang, District Jhang"
"Sahiwal, District Sahiwal"
"City, District Faisalabad"
Alipur? District Muzaffargarh
"Watani, District Sahiwal"
"Dipalpur, District Okara"
"Multan, Punjab, Pakistan"
"Tamiwali, District Bahawalpur"
"Shadman Colony, Gujrat"
"Block L, Lahore"
"Jhamra, District Faisalabad"
Sadar? District Multan
"C, Karachi East"
Sialkot? District Sialkot
Dera Ghazi Khan
"Shah, District Chakwal"
Toba Tek Singh
"Hazro, District Attock"
"Park, Achhra, Lahore"
"Punjab , Pakistan"
"Sadar, District Multan"
"College Road, Bahawalpur"
"Bhatian, District Hafizabad"
Madrasa Salisbeel? Bahawalpur
Hospital?Mahalla Bani Gran?Bahawalpur
Patuki? Kasur District
Chanu? District Khanewal
Watani? District Sahiwal
"Moheriwala, Tehsil/District Muzaffargarh"
Jhang? District Jhang
"Hazari, District Jhang"
"Pakka, District Lodhran"
"Sharafabad, Karachi East"
"District Karachi, Malir"
"East, District Bahawalpur"
Rahim Yar Khan
"Sial, District Jhang"
"Dunyapur, District Lodhran"
5?MAHALA GILANIA?DIPALPUR?DISTRICT OKARA
"Dipalpur, District Okara"
"Green Town, Lahore"
"Lakshmi Chowk, Lahore"
"Jatoi, District Muzaffargarh"
Jhang? District Jhang
"Kasur, District Kasur"
"Cantt., District Lahore"
Tehsil/ District Lahore
"Chunian, District Kasur"
"Sheikhupora, District Sheikhupora"
"Muzaffargarh, District Muzaffargarh"
"Sahiwal, District Sargodha"
Toba Tek Singh
"Office Muraliwala, Gujranwala"
"City, District Faisalabad"
watni zilla Sahiwal
"Abbas, District Bahawalnagar"
"Sadr, District Multan"
"Jahanian, District Khaniwal"
Hazari? Jhang District
"Sadar, District Faisalabad"
"Adu, District Muzaffargarh"
"Chinnu, District Khanewal"
"Pir Wadhai, Rawalpindi"
"Makki masjid, Attock."
"Salarzai, District Bajaur"
"Sarandi, District Faisalabad"
"Jhamra, District Faisalabad"
"Shabqadar, Charsadda District"
"Hazro, District Attock"
"Jhamra, District Faisalabad"
"Jatoi, District Muzaffargarh"
"Chinnu, District Khanewal"
"Housing Scheme, Pakpattan"
"Khanewal, District Khanewal"
"Marine, District Faisalabad"
"Mohalla Nazarabad, Multan"
Silanwali Zillah Sargodha
Mohalla Bhasarpura? Kasur
House number 16?
"Digar, Tehsil/District Bhakkar"
"Chishtian, District Bahawalnagar"
"Khanewal, District Khanewal"
"Chunian, District Kasur"
"Mohalla Hajipora, Sialkot"
Rahim Yar Khan
"Sadar, District Multan"
Toba Tek Singh
"Chanu, District Khanewal"
Noorpur District Khushab
"Bhatian, District Hafizabad"
Rahim Yar Khan
District Hattian Bala
Hospital?Lahore Cantt?Lahore District
"Road, Shahdara, Lahore"
"Jhang, District Jhang"
Sheikhupura? District Sheikhupura
Kurram? District Kurram
"Sargodha, District Sargodha"
"Sadar, District Faisalabad"
"Gurja Road, Rawalpindi"
"9, Karachi Central"
"Warkan, District Gujranwala"
"Khanewal, District Khanewal"
"Chichawatni, Sahiwal District"
"Rehmaniya Masjid, Lodhran"
"Chunian, District Kasur"
"Paplan, District Mianwali"
Scheme Ferozpur Road?Lahore
"Mahalla Qadeerpura, Hafizabad"
House No. ZB/749-M-33?
"Office Mathalak, Sargodha"
WasanpuHouse No. 46/5?Mohalra?Lahore
Tehsil/ District Sahiwal
"Borivala, District Wahari"
"Kabirwala, District Khaniwal"
Chinnu? District Khanewal
City? District Faisalabad
Lahore? District Swabi
District Mirpur Khas
"Abbas, District Bahawalnagar"
Liaquatabad Kot Lakhpat?Lahore
"Dunyapur, District Lodhran"
"Sial, District Jhang"
"Sargodha, District Sargodha"
House No. D-32?
"Chishtian, District Bahawalnagar"
Yazman District Bahawalpur
Dera Ghazi Khan
Sargodha? District Sargodha
"6, Karachi East"
"Pakka, Tehsil/District Mianwali"
District Shaheed Benazirabad
Canal Bank?Block Ravi?Lahore
"Sargodha, District Sargodha"
"Delhi Gate, Lahore"
Tamiwali? District Bahawalpur
"Noorpur, District Khushab"
Silwanali? District Sargodha
",zila Shikar pur"
"Housing Colony, Bahawalnagar"
"Yazman, District Bahawalpur"
"Arifwala, District Pakpattan"
"Block D, Lahore"
Chobara? District Leh
"Cantt, District Lahore"
"Mahalla Noori, Pakpattan"
"Hathar, Tehsil/District Lahore"
"Cantt, District Lahore"
Toba Tek Singh
"Colony Achhra, Lahore"
"Chunian, District Kasur"
"Khaniwal, District Khaniwal"
"Sial, District Jhang"
"Dipalpur, District Okara"
"Babar Mela, Hangu"
Toba Tek Singh
"Chunian, District Kasur"
"Chishtian, District Bahawalnagar"
"Civil Line, Gujranwala"
"Zafarwal, District Narowal"
Tehsil/ District Khushab
Jatoi? District Muzaffargarh
Khanewal? District Khanewal
"Sadar, District Multan"
"Ujla, Samandri, Faislabad"
Mandru Ullah? Pakpattan
"Watani, District Sahiwal"
"Sector D, Lahore"
"Chinnu, District Khanewal"
"and District, Narowal"
pakka zila Lodhran
Rahim Yar Khan
"Mianwali, District Mianwali"
Dera Ghazi Khan
New Naqshband Colony?Multan
"Sahiwal, District Sahiwal"
Toba Tek Singh
"Khushab, District Khushab"
Toba Tek Singh
Tehsil/ District Muzaffargarh
"Rajanpur, District Rajanpur"
Toba Tek Singh
"8C, Karachi East"
"Mailsi, District Wahari"
"Harunabad, District Bahawalnagar"
"Shahpur, District Sargodha"
"Havelian, District Abbottabad"
City? District Faisalabad
Topi Distract Swabi
Meesli District Wihari
Toba Tek Singh
"Chishtian, District Bahawalnagar"
Neel Gran? Multan
"Shah, District Karak"
"Chishtian, District Bahawalnagar"
"Dunyapur, District Lodhran"
Toba Tek Singh
"Taxila, District Rawalpindi"
"Kabirwala, District Khaniwal"
"Sarandi, District Faisalabad"
"Nazimabad, Karachi Central"
Yasin? District Shikarpur
M?Tehsil Lodhran?District Lodhran
Bagh?Chak Ghamnana?Tehsil/Dist. Jhang
"Sial, District Jhang"
Block B? Sargodha
"Karim Town, Multan"
"3, Karachi Central"
Street New Sumanabad?Lahore
Kalan?Tehsil Sharqpur?District Sheikhupura
"Cantt, Tehsil/District Attock"
"Parwala, District Multan"
"Dunyapur, District Lodhran"
"Khanewal, District Khanewal"
"Sheikhupora, District Sheikhupora"
"Sargodha, District Sargodha"
"City, District Faisalabad"
"Gokhan, Tehsil/District Abbottabad"
District Karachi Malir
Toba Tek Singh
4/724-A?Mohalla Liaquatabad?Karachi Central
"Ghauta Fatehgarh, Narowal"
"1, Karachi Central"
Deen Park Shadbagh?Lahore
"12/L, Karachi West"
"Bagrani, District Larkana"
Rahim Yar Khan
"Town, Karachi East"
District Karachi Malir
"Moheriwala, Tehsil/District Muzaffargarh"
"Awatar, Tehsil/District Bahawalnagar"
